"ROWKEY","COMMCONTENT","COMMLEVEL"
"1080059","既特点低温区、中温区和高温区之分，能够满意所有人的不一样需求。服务态度相当到位，并且既特色自助又特点简餐，相当棒，下次还会带家人和朋友一起过去！","1"
"1080060","经常来爬，没有什么太大的感觉了！周末空闲游还是不错的去处！","1"
"1080061","交通不便，季节也不对，景点尚未形成规模！","1"
"1080062","孩子游玩的好去处，里面很动画，很可爱，印象最深的是百人5D电影，身临其境，感受颇深。其他也很受孩子的喜欢！","1"
"1080063","团购的，感觉票价非常值啊。公园里有五六种过山车吧，还是挺刺激的，进门先去玩的蓝火、周末人太多，好玩的项目排队很长，玩的很高兴。。","1"
"1080064","大明湖真的很大，足足走了4小时，还没走完。五龙潭也不错，趵突泉感觉一般，除了有个泉，其他一般。","1"
"1080065","古人云：“游泰山不游灵岩部位游也”，果真如此，灵岩寺身处深山，那里人迹罕至，寺院古木苍松，红墙碧瓦，仿佛世外桃源一样，真是个修行的好地方。","1"
"1080066","观唐温泉是占地面积很大的露天温泉，四周百余棵成年香樟大树遮天蔽日，儒风古韵、唐风泉韵、绿色沂蒙、名花贵石、异国风情的温泉设施，超美的地方。","1"
"1080067","可以去玩的地方，就是稍微偏远了点。","1"
"1080068","自然景观，比较大，小朋友最喜欢的就是漂流","1"
"1080069","值得去，非常好，非常好，有感觉的景色","1"
"1080070","感觉非常不错，玩过之后，强烈推荐给大家都去亲自感受一下。","1"
"1080071","景色很美，用半天时间游玩，泉水很美，很清爽。","1"
"1080072","百脉泉不如趵突泉名气大，这里环境很好，李清照纪念馆建在这里，公园因地缘势，沿水之滨，建有儿童乐园、名泉水景区，花园景树区等景点。","1"
"1080073","好玩 里面很大 小孩特别喜欢","1"
"1080074","不错，方便，快捷又便宜。已经用过好多次。出门必备","1"
"1080075","园博园太大了，一天逛不完，只逛了省内的那些园，我们去的时候，天气还很冷，植物还没有发芽呢，现在应该更好看，而且还可以放风筝了。","1"
"1080076","挺好玩的项目挺多 就是大马戏没有了 能看的话就更好了","1"
"1080077","玩的不错 胆子大的会觉得不够刺激","1"
"1080078","能玩的项目不是很多。 好玩的就那几个。","1"
"1080079","还行，指示牌不是很清楚！爬下来有点累！","1"
"1080080","真心太可以，临沂的温泉还是观唐温泉不错。地方大，孩子玩的地方多。","1"
"1080081","景点风景迷人卫生环境优秀！！！","1"
"1080082","取票便捷，就是如果票订得不对，就让你按全票买，不能按携程网上订的票价格付款，有一点可惜所以过去之前要确切确认小孩的身高。。","1"
"1080083","人比较多了，携程订的票在前台取票太便捷，室外的池子很多，就是浴巾没干的了，地热廊比较不赖。自助餐有一点贵，孩子玩的太高兴","1"
"1080084","整体满意，自然景观比较好，公共设施陈旧，如果原价70元，太不值了。","1"
"1080085","很好，天很蓝，树很绿，特别是两边两个天梯，很陡，很险，要是索道还能用就好了，","1"
"1080086","一家人一起去的！有一段台阶挺陡峭的走起来很过瘾！感觉很好！有时间希望还能来爬山！好评！","1"
"1080087","纯步行，用时4.5个小时。景点还在修缮中，好多地方的路不同，只能重走一遍。","1"
"1080088","虽然是威海人，但是还是第一次去爬圣经山，分前山和后山。还是更喜欢后山，绿植覆盖很广，空气很清新，很适合上班族放松身心。","1"
"1080089","景色宜人，真跟人间仙境一样。坐在缆车上看景色更美。水质也很清，看着就舒服。赞赞！！","1"
"1080090","还行，亮点是让孩子认识了很多名人，知道了他们的事迹。","1"
"1080091","非常漂亮，近海的地方值得一去不错不错","1"
"1080092","第二次来，很好好的地方！竹林丶泉水融入其中，怎一个美字了得！我很喜欢这个地方哟！","1"
"1080093","赠两杯啤酒还有小零食……很不错","1"
"1080094","还不错，值得去，时间充裕的话，可以去感受一下，那里的啤酒跟正宗，好喝，跟外面买的就不一样","1"
"1080095","非常棒 青岛啤酒特别好喝 直接参观车间 还送杯啤酒 不错不错","1"
"1080096","人太多，景点光顾车太贵！景点缺少游览图，游玩不知道应该怎么走！景区应该改进方便游客自主游览","1"
"1080097","龙口市排名第一的景区，整体来讲确实有很多景点和建筑，一百多的门票也确实比较划算，上下山都有景区观光车，人不多的时候体验还是不错。但是，整体感觉景点大多人造的，商业气息较浓。","1"
"1080098","济南主要游览个趵突泉和大明湖，最好先游览趵突泉，完了可以坐船到大明湖，船票20元，还能经历一下船闸的乐趣。对于游览堵城济南的游客来说，坐船虽慢，但不用倒车，并且直达的游船还是不错的选择。","1"
"1080099","泉水甘甜，有苏州园林味道，干净整结。","1"
"1080100","趵突泉要宁静很多，它有很多很多的古建筑，即使泉眼那里人满为患，趵突泉仍然有安静的地方，可以看看书喝喝茶。","1"
"1080101","去过很多次了，很喜欢这个地方，只是初五去的那天人超多，买票排队等好久，排到了以后又没有手牌又要等，建议淡季出游。","1"
"1080102","下午到达温泉，兑换了携程网预订的门票，景区付，很方便，泡了一个下午，转了多数的池子，很多项目还想再泡一次，冬天还要来。_x000D_ ","1"
"1080103","还不错挺刺激的。都玩嗨了，只是排队挺慢的排队两小时畅游五分钟。吃的性价比很一般。不过玩的好，挺开心的。可以说是太刺激了好好好","1"
"1080104","不愧是湿地公园，空气特别好。环境没的说，就是感觉公园内的收费有点高，例如游船，观光车等。还是挺不错的。","1"
"1080105","还是不错的，适合带孩子去玩，平时里面没什么人。","1"
"1080106","买票时网上没说老年人可以免票，去景点窗口既不找零也不告知老年人免费……到了山里，才听好多老人说，其实老人都是免费的，心里不舒服！","1"
"1080107","与朋友一起去的，时间比较早，如果五六月去或许会更美丽。现在应该是鸟语花香的日子了，价格稍贵","1"
"1080108","酒店地理位置不错，有充足的停车位，内部装修环境不错，很有档次感，洗浴也还不错就是人少点，多点人气就更好了","1"
"1080109","真的感觉不错的，去过的朋友和我一样的感觉。","1"
"1080110","冠山景区主要还是自然风光，现在也加入了一些人工景点，可以来看看。","1"
"1080111","整体很好，就是快到出口那里有骑马的，工作人员态度恶劣，三观不正！孩子5岁多一点，工作人员非要让孩子骑马，孩子不骑就说孩子胆子小！想挣钱想疯了，穷疯了","1"
"1080112","槐花开的时候景色最美，去吊床那边很惬意的，除了门口的生态园去里面的各种游乐设施都要收费，生态园还是值得看一下的","1"
"1080113","假期啊，去泡温泉的人超多，不过孩子玩得很high。","1"
"1080114","第二次去了，同行的朋友说很好，不过可能是过年的事，浴巾的量不是很充足啊！","1"
"1080115","风景没得说 夏天避暑的好地方 里面玩水的特别多 还有那个用泉水泡的大碗茶 喝起来不错","1"
"1080116","很不错，超出预期，动物的种类很多，环境也很好，还坐了摩天轮。不过是下午去的，猛兽们都在午休，联系上午去，还凉快。","1"
"1080117","很好，很大，值得去逛逛，挺好玩的","1"
"1080118","动物园位置很好找 种类多环境美 孩子很喜欢 超值！动物们生机勃勃 有机会还要去","1"
"1080119","挺好玩de 喜欢熊猫 去不起四川那就来个济南","1"
"1080120","带宝宝去的，动物挺多，也挺大，多亏租了辆推车，孩子挺开心，后来在游乐场玩了不走了，除了天热了点，没毛病。","1"
"1080121","多亏携程，没现金了，就急呀。。","1"
"1080122","信号山不高，但内部的景色还是很不错的，爬起来也不累，到了顶上，那个蘑菇房里还可以旋转观看青岛的全景，如果不是起了大雾，应该会更美丽","1"
"1080123","值得一去，景色不错，可以玩上半天","1"
"1080124","游戏好玩，刺激性，3d演出很精彩，夜场也很出乎意料，夜中挥舞的荧光棒，歌唱的很嗨，舞蹈很好看，饺子馅的意义很大","1"
"1080125","树也绿，水也绿，景色真的不错，很喜欢这里，很适合游玩。","1"
"1080126","真的蛮大的，很漂亮。值得一去。","1"
"1080127","五四广场因“五四运动”而得名，是青岛的标志之一。五四广场最耀眼的就是矗立在其中的红色雕塑“五月的风”，以螺旋上升的风的造型和火红的色彩，充分体现了“五四运动”反帝反封建的爱国主义基调和张扬腾升的民族力量。","1"
"1080128","这儿一年四季鲜花盛开，树木郁郁葱葱。","1"
"1080129","一家人高高兴兴，其乐融融老妈，老婆，女儿，还有我，感受竹林之美，。。。。。。。。","1"
"1080130","地方还可以，五一假期去的，人比较多，门票有点贵，适合情侣或一家人一起去。。。。。。","1"
"1080131","还行，一个小时就 可以搞定了。参观完了可以去栈桥走走，两个景点很近。","1"
"1080132","很大很漂亮，简直高大上，很值得游玩","1"
"1080133","非常好的啤酒博物馆，啤酒好喝！","1"
"1080134","购票很简单 也很方便 每次都在携程上订票","1"
"1080135","八大关由来是因为有八条长城关口命名的主路，八大关的路有韶关路、涵谷关路、正阳关路、临淮关路、嘉峪关路、宁武关路、紫荆关路、居庸关路","1"
"1080136","服务周到1光景优美，不错，，，，，，","1"
"1080137","服务周到 环境优美 不错。z？z","1"
"1080138","环境优美，服务周到，不错7。。。。。。","1"
"1080139","风景很优美，里面的一线天，练武场，日月桥等，都值得一看","1"
"1080140","挺好的，接近大自然，山路不是很好走！","1"
"1080141","风景秀美，登高观景一揽无余，心旷神怡。","1"
"1080142","环境好，来济南不来趵突泉，等于白来济南，一定要去哦。","1"
"1080143","小时候课本里面就读到过，到现场一看果然名不虚传，泉水不停的涌出来蔚为壮观。","1"
"1080144","名胜古迹的地方，值得一去。空气质量没的说，干净。","1"
"1080145","济南的旅游名片，肯定是要推荐了。","1"
"1080146","很值得去，了解啤酒文化！还能品尝新鲜啤酒","1"
"1080147","服务好，态度很好，水温也很好，希望经常推出半价洗浴！","1"
"1080148","10.2号下着雨去的，依然人山人海，服务很好，服务员更换浴巾非常及时，很赞，玩的过瘾。由于当天下雨，室内的池子人非常多，也没怎么玩，室外的水上乐园水太凉了适合夏天玩.下次带着爸妈来玩","1"
"1080149","五四广场是青岛的标志，很美很漂亮。","1"
"1080150","玩了一圈？还不错。就是带着孩子没有体验漂流，下次一定要体验一把。","1"
"1080151","很刺激，很高兴。 ","1"
"1080152","挺好的，孩子采摘的很开心！我们玩得也挺好！","1"
"1080153","大片的荷花，很壮观。坐船到岛上，不错。携程订票方便，优惠力度大，不错值得推荐","1"
"1080154","湿地规模很大，正是荷花盛开之际，荷花、荷叶、湖水连成一片，美不胜收！很值得一游。建议加强管理。","1"
"1080155","八大关风景区在海边，周围都是游客","1"
"1080156","很自然的一个景区 山不是非常高 但是会有攀爬的乐趣 四周绿树环抱 民风淳朴 山泉会随着石阶旁的小路留下 别有一番风情 泉水水质纯净，煮沸无垢，清洌甘甜。","1"
"1080157","娘娘庙，真武庙，等等记不住了，景点还挺多的，走到最后有点累了，真心吃不消了，平时缺乏锻炼啊","1"
"1080158","园博园的景色非常棒，空气特别好。特别是开春的时候，踏青的好去处。环境优雅，整洁。许多的游客但不嘈杂。特别是特别大的湖，让人心旷神怡。以及山东各个市的园，比如烟台园，潍坊园，各有特色。","1"
"1080159","真的是“红瓦绿树，碧海蓝天”啊，去的时候租了一辆双人自行车，有很多外国建筑，很美，边骑车边看风景，很累啊，因为那地势，上上下下的，但真的在济南很少见，黑风啊！","1"
"1080160","不错的景点，环境也不错，值得去……","1"
"1080161","非常不错，值得一去，坐快艇记得带雨衣","1"
"1080162","适合全家一块去玩，景色挺你美的，而且离着潍坊也近，游客参与的有特色的娱乐项目偏少","1"
"1080163","还行吧，就是现代建筑多了一些，有些景点不让去游玩，再就是交通不是很好堵车比较严重","1"
"1080164","就是人太多 周末应i该好些 以后尽量避免假期c出行 这次是清明假期 人多倒无所谓 但是停车场拥挤 没地方停车 耽误了好久","1"
"1080165","感觉性价比高，适合亲子，风景不错呢","1"
"1080166","这里是名胜风景区，景色很好，但一定要避开枯水期，最佳是夏未秋初。","1"
"1080167","挺好玩的，坐船也很划算，总体来说是一次很愉快的旅游","1"
"1080168","海上日出最早的地方，中国好望角，冬天去冷点。","1"
"1080169","可以值得一看，景区很大，拜佛的很多","1"
"1080170","非常方便，非常快捷，下次去还会买","1"
"1080171","很好，动物很多，挺好玩，人很多，小松鼠很好玩。","1"
"1080172","空气清新寺庙座落于山水之间，看到过的第一大佛，高尔夫球场，等等都很好","1"
"1080173","就住在附近，不过去的不多，比起登州路的啤酒厂这个知名度不够，但是能喝点鲜活的啤酒也是人生一大快事，建议来尝试一次！","1"
"1080174","青岛二啤的原浆啤酒也是非常有名的，旁边甚至有一家酒店也因此非常火","1"
"1080175","里面内容丰富，啤酒?绝对正宗，还有啤酒豆，更有晕眩房！","1"
"1080176","不错哒，和好朋友去的，很开心，玩的很嗨，很开心，么么哒，以后有机会还会去的！嘻嘻。","1"
"1080177","山东半岛的尖儿上，天尽头的名字就很有神秘感，2010年来过一次，当时叫天无尽头，说是天尽头的名字害得好多官员都不敢来了，有许多典故，朋友们自己去百度吧，这次来又改成天尽头了，改来改去的，哈哈！有人说门票很贵，但是不来这里你总会感觉遗憾，所以也是值得来的。","1"
"1080178","买的联票，四个景点，非常实惠，上午动物园，下午摩天岭和成山头，隆霞湖没有去，时间还算充足","1"
"1080179","不错，环境优雅，动物园也不少，门票也不算贵，挺划算的，要是能安个吊床就更好了，休闲的好去处","1"
"1080180","好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好","1"
"1080181","经常去，孩子很喜欢这里的动物们，看个长颈鹿半小时，看个兔子也半小时，喂下来价格也不菲了，里面其他消费太贵！","1"
"1080182","和朋友有互动，拍美美的照片呦~","1"
"1080183","物有所值，很好的一玩耍地方，好好","1"
"1080184","整体不错，所有表演正好赶上，还行吧。","1"
"1080185","里面的表演很好，野人谷很好，，网上订票优惠多","1"
"1080186","人不算多，离地铁近，展品丰富。","1"
"1080187","真的不错 适合带家人一起去玩 棒棒的","1"
"1080188","携程网络购票非常给力，让我很轻松就买到票了，也不用到景区排队。旅游旺季，旅游的人真的太多了，但这次旅游，所有的门票都是在携程买的，真的很棒，只需要到网络售票处说手机号就可以取票了，点赞！","1"
"1080189","天气好的时候，一家人周末出游好去处","1"
"1080190","溶洞每的景观非常棒，很好的一次旅游体验，票很值","1"
"1080191","从五岁开始每年都会来，只不过水是越来越少，门票也越来越贵了。 景点本身还是很好的，青山绿水。","1"
"1080192","如果不考虑周围的墓，不打扰地跑上两圈非常棒","1"
"1080193","黄海之滨，亭台楼阁，人工打造的道教文化旅游景区！环境优美，很有特色，有各种道教神仙像，仿佛置身仙境！随便逛了逛，门票120元！","1"
"1080194","青岛最富盛名的广场，与音乐广场相邻，与情人塔隔海相望。","1"
"1080195","一般不值得去 就个大火炬 边上有奥帆中心","1"
"1080196","五四广场，面向大海，开敞奔放，周边建筑、道路、绿化等城市设施档次高，管理精细，景观效果好，现代海滨城市的经典，城市标志性广场的样板。","1"
"1080197","非常有古韵的地方，狭长的走廊和高高的屋檐都很让人震撼","1"
"1080198","市内车接车送很方便，导游讲解的也挺详细。里面主要是以各种过山车为主的娱乐设备，大部分是室外的，也有不少市内的。蓝火看着很过瘾，但是没来得及坐，龙卷风挺刺激的，漂流挺平稳，马戏团挺精彩，星空过山车一般，5D电影效果很好。总之值得一去！","1"
"1080199","很愉快的一次旅行，大家一起去的，里面的项目很过瘾，就是时间太短，还有好多项目都没有玩就回来啦！","1"
"1080200","空气很好，适合住几天，疗养圣地","1"
"1080201","我觉得这是青岛最值得去的地方，跟自己喜欢的人一起去这里走走，我们特意去了公主楼，那很好。","1"
"1080202","青岛地标之一，红砖绿瓦，蓝天碧海，幽静的别墅区，悠然的散步，感受那份-----！","1"
"1080203","八大关景区个人觉得是到青岛旅游强烈推荐区的一个地方，这里是有着百年历史的别墅区，而且也紧挨着海边，大家可以乘坐公交车到这里，然后在别墅区慢慢的散步，看一下街到、街心花园还有几个比较著名的别墅，花石楼、公主楼和蝴蝶楼等，不过这几个别墅进去是要收费的，推荐花石楼进去看一下","1"
"1080204","环境优美，是值得一去的好地方！","1"
"1080205","很不错的地方，带孩子玩一天很好，要早去。","1"
"1080206","值得一去，周围绿化很好，服务也不错，就餐不方便，周围餐馆少","1"
"1080207","去的不是好季节 说好的郁金香花展连花骨朵都还没有 5月以后再去吧","1"
"1080208","山清水秀的地方，山不是特别高，适合全家出游，就是大槐树伤心了 都是假叶子，还有就是好远啊，不过就是偏远才原始，不错","1"
"1080209","大義梁山！大碗喝酒大块吃肉！豪情壮志！风土人情很好！","1"
"1080210","卖东西的太多，小鸟表演是一个特色，领孩子去是个不错的选择","1"
"1080211","里面最美的就是那个晓望水库了，可拍出很美的照片。夏天到这里来如果水温合适还可以游泳，离市区不算远。","1"
"1080212","第一次游齐山，没想到齐山如此惊艳，正值花开季节，满山樱花，连翘，景色好美山顶更是山峰奇特，值得一游","1"
"1080213","海边不太好玩！山顶景色特美！不过交通超级不方便！海边不太好玩！山顶景色特美！不过交通超级不方便！海边不太好玩！山顶景色特美！不过交通超级不方便！","1"
"1080214","万鸟岛还是很不错的，可以跟海鸥近距离接触","1"
"1080215","值得一玩，购票取票很方便，自助取票机好几台，人也不多，而且省了不少钱，一家老少玩的很开心","1"
"1080216","很好玩，非常震撼！下次来泰安还来这里。","1"
"1080217","还可以很便宜项目很刺激。时间也够完。棒棒哒","1"
"1080218","这家太阳部落山庄，是一家新开的农家乐，就在路边，很好找；这家山庄，是一家演艺公司开的，音响设备、演艺设备很棒，可以唱歌、跳舞、KTV；他们有自己的表演队伍，美女、帅哥都是多才多艺的民族，席间，竟然还有大理南涧的跳菜表演；还有歌舞团队的敬酒，对于贵宾，敬酒的方式很多：高山流水、三江并流……吃晚饭，院子里还有篝火晚会，大家围绕着篝火跳舞，很热闹","1"
"1080219","跟朋友一起去的，在携程订票比到景点现买便宜点，自助取票也很快，玩的挺开心，挺不错的奥","1"
"1080220","我们是晚上去的，非常大，有很多人悠闲的散步。一直走下去就是奥帆中心，卖东西的也很多，吃的玩的都有，集休闲、游乐于一身。晚上灯光漂亮，白天太阳晒，建议看夜景。","1"
"1080221","这里是原生态保护区，是大美！一般人不懂","1"
"1080222","还不错，带着辅导班的宝贝们来的，玩的都挺happy吆","1"
"1080223","大美孔府，深受教育意义！！！！","1"
"1080224","是的，环境挺好，空气也蛮可以。","1"
"1080225","五莲山是日照最有名的山了，很不错","1"
"1080226","网上买票比较方便，取票很简单，略有优惠","1"
"1080227","景点不错，值得一去，但比起郊外景点略显……","1"
"1080228","龙宫的石钟乳奇特，灯光照耀之下很美","1"
"1080229","交通方便，紧邻鲁迅公园和海军博物馆，周边的风景也很好，水母馆很梦幻，海兽馆确实不怎么样，海底世界确实不错，又赶上14点的美人鱼表演。再有就是旺季门票130，携程110确实物有所值","1"
"1080230","还行 离得挺近 叫上朋友一起去玩玩 整体还行 游乐实施有点少 人也不是很多 整体还行 我很喜欢","1"
"1080231","有尊卧佛 据说亚洲最大整块玉的。还有买石头的地方价钱比外面便宜","1"
"1080232","美好的一天，孩子高兴！我们大人也开心，偶尔放松一下心情，生活需要美景！ 让阳光随行吧????","1"
"1080233","今天去呆着孩子去玩了一下，体验不错！","1"
"1080234","挺不错的 孩子很喜欢去 网上很便捷","1"
"1080235","时间有点久，所以建筑都有点旧了","1"
"1080236","暑假去的，人不是很多。水也挺干净的。16点以后去的冲水，可能是人多的原因，水流很小。","1"
"1080237","青岛的地标，面朝大海，景色优美！","1"
"1080238","沿着老街慢慢晃荡，既有德式哥特建筑的风情，又有中国人世代居住的杂乱，不经意间的一栋别墅便可能是名人故居。","1"
"1080239","很值得一看的博物馆，啤酒也好喝","1"
"1080240","景色很美，古建筑群很有历史韵味，登高望远，海就在眼前，心境都开阔了","1"
"1080241","买票时偷了个懒，没看携程APP，以为当天票不能用。就在景区门口现场二维码扫描买票，结果比APP还贵了15元。","1"
"1080242","很好！很好！美的很！美的很哦！","1"
"1080243","风景优美，孩子玩的很高兴，唯一不足的是做船说的是二十分钟，实际十分钟也没有。","1"
"1080244","携程很给力，预定方便，价格便宜，超赞!景点总体比较好，但就是水少了点儿，空气很清新!","1"
"1080245","携程取票一如既往地省时省力，旅行用携程成了我的习惯！虽是近邻，但真没想到泰安还有如此神奇美丽的景区，总体感觉要比沂水大峡谷大些，更美一些；峡谷漂流印象深刻！时间足够长，巧妙的是，不知不觉中，终点竟然回到了原点。细节，景区拍照只要十元！还给压膜了，良心！关键质量还很好！上月去迪士尼，一张三十！毛片。总之，旅行因携程变得简单，地下龙宫，值得一去！","1"
"1080246","爬山确实是个体力活，和同学一家一起爬，他们一家爬了1／3坐漂流下来了，我们爬到索道处也累的不撑了，坐索道和漂流下山了，儿子玩的挺高兴的，我感觉没什么特别的，和多数森林公园差不多","1"
"1080247","很好的旅行，国庆期间去的，没有想象中的人多与拥挤，风光景色很好，瀑布也有水流，很美！值得一游！好评当然的！！！","1"
"1080248","景区面积很大，去游玩的人很多，到了景区里边确很幽静，值得去游一游！","1"
